Organisation,Religion,Address Line 1,Address Line 2,Area,City,Postcode,Latitude,Longditude ,Telephone,Website,Activities,Education/Language,Outreach/Counselling,Lunch Club/Meal Provision/Café,Fitness,Youth club
Polish Catholic Centre and Church,Christian,Newton Hill Road,,Chapeltown,Leeds,LS74JE,-1.531358,53.823253,0113 2628019,www.parafialeeds.org.uk,"Scouts/Guiding, Saturday Polish school, restaurant/bar and shop, Library, Drama Club, Church Events, Charity Circle",Yes,Yes,,Yes,Yes
Roscoe Methodist Church,Christian,Francis Street,,Chapeltown,Leeds,LS74BY,-1.5312539,53.814373,0113 2622332,www.leedsnandemethodist.org.uk/roscoe.php,"Services in French, Eritrean, Farsi. West Indian Family Counselling Services (WIFCOS), Luncheon Club, Bereavement Support Group, Chapeltown CAB, Pastoral Support, Youth Clubs, City of Mission Pentecostal Group (Pastor Legister, 07952554492); Igrega de Deus (Assembly of God, Portuguese speaking, www.iadleeds.com); International Fire Ministries (French speaking, Congolese - Pastor Remy Mosanda)",Yes,Yes,Yes,Yes,Yes
Chapeltown Community Church,Christian,Reconciliation Centre, Avenue Hill,Chapeltown,Leeds,LS84EX,-1.5218759,53.817669,0113 2392893,Unknown,Church Services,,,,,
Church of God of Prophesy,Christian,196 Chapeltown Road,,Chapeltown,Leeds,LS74HZ,-1.53218,53.822111,0113 2374287,www.cogop.org/,"Austin Burke Memorial Hall, Precious One's Nursery, Fusion Café (for older people, run by Black Health Initiative, Wednesday 11.30-2pm)",Yes,,Yes,,Yes
Holy Rosary Church,Christian,Chapeltown Road,,Chapeltown,Leeds,LS74BZ,-1.5319591,53.813801,0113 2454545,Unknown,Eritrean (Ge'ez Rite) Catholic Church (Father Ghebreyesus Ghebrezghi) ,,,,,
Holy Rosary and St Anne's Catholic Primary School,Christian,Leopold Street,,Chapeltown,Leeds,LS74AW,-1.5316137,53.812073,0113 3368433,www.holyrosaryandstannes.org.uk/,Catholic Primary School,,,,,
Harehills Lane Baptist Church,Christian,13 Hilton Place,,Chapeltown,Leeds,LS84HF,-1.5188032,53.819393,0113 2628080,www.hlbc.org.uk/,"Monday Community Café and clothes shop, childrens circus club, Bikers group, Free English classes, Asylum Seekers Support Group, Mens Group, Mangembo Church (French speaking), Romanian Church.",Yes,Yes,Yes,Yes,Yes
Scott Hall Church,Christian,Scott Hall Christian Fellowship, Scott Hall Grove,Chapeltown,Leeds,LS73JL,-1.5403868,53.820862,Unknown,www.scotthall.org.uk,"Ladies Activites, Homework Club, Visitation",Yes,Yes,,,Yes
Wesleyan Holiness Church,Christian,Laycock Place,,Chapeltown,Leeds,LS73JA,-1.53628,53.81219,Unknown,www.wesleyan.net/churches/uk,Romanian Pentecostal Church,,,,,
Association of Ukrainians Centre,Christian,Ukrainian Centre, 5 Newton Grove,Chapeltown,Leeds,LS74HW,-1.5302866,53.818027,Unknown,www.augb.co.uk/leeds.php,"Apostolic Faith Mission (Pastor Mudada, 07868342559); Salem Mission House Foundation Faith Church (Rev Andy Mboma)",,,,,
St Martins Church,Christian,St Martins View,,Chapeltown,Leeds,LS73LB,-1.5360622,53.821815,0113 2624271,www.stmartinleeds.org.uk,"Outreach project, community kitchen (Saturday 12-2), Mother's Union, Pastoral Support, Annual Dementia-Friendly Eucharist, Zimbabwean/Shona group",,Yes,Yes,Yes,Yes
St Wilfrid's Church,Christian,St Wilfred's Vicarage, Chatsworth Close,Chapeltown,Leeds,LS83RS,-1.509041,53.813789,0113 249 7724,Unknown,"Church Services, Eritrean Church",,,,,
Christ Embassy Church ,Christian,1 Scott Hall Street,,Chapeltown,Leeds,LS72HT,-1.543369,53.816562,Unknown,Unknown,Church Services,,,,,
Al Amin Islamic Education Centre,Muslim,71 Mexborough Drive,,Chapeltown,Leeds,LS73EL,-1.53552,53.815384,0113 2624329,Unknown,"Madrasa, Prayer, Arabic Classes",Yes,,,,
Hazrat Sultan Bahu Centre,Muslim,31 Hilton Road,,Chapeltown,Leeds,LS84HA,-1.5205319,53.819653,Unknown,www.bahutrust.org.uk,Classes and Islamic Education,Yes,,,,
