Organisation,Religion,Denomonation,Address Line 1,Address Line 2,Area,City,Postcode,Latitude,Longditude ,Contact Name,Telephone,Telephone2,Website,email,Activities,Education/Language,Outreach/Counselling,Lunch Club/Meal Provision/Café,Fitness,Youth club,Using Building
Polish Catholic Centre,Christian,Catholic,Newton Hill Road,,Chapeltown,Leeds,LS74JE,-1.531317,53.823215,Magda Ions,0113 2628019,Unkonwn,Unkonwn,Unkonwn,Unkonwn,,,,,,
Roscoe Methodist Church,Christian,Methodist,Francis Street,,Chapeltown,Leeds,LS74BY,-1.5312539,53.814373,Rev Mark Harwood,0113 2622332,Unkonwn,Unkonwn,Unkonwn,"Services in French, Eritrean, Farsi. West Indian Family Counselling Services (WIFCOS), Luncheon Club, Bereavement Support Group, Chapeltown CAB, Pastoral Support, Youth Clubs",Yes,Yes,Yes,Yes,Yes,"City of Mission Pentecostal Group (Pastor Legister, 07952554492); Igrega de Deus (Assembly of God, Portuguese speaking, www.iadleeds.com); International Fire Ministries (French speaking, Congolese - Pastor Remy Mosanda)"
Chapeltown Community Church,Christian,Unknown,Reconciliation Centre, Avenue Hill,Chapeltown,Leeds,LS84EX,-1.5218759,53.817669,Unkonwn,0113 2392893,07847240110,Unkonwn,dg@kingdomperformanceministries.com,Unkonwn,,,,,,
Church of God of Prophesy,Christian,Unknown,196 Chapeltown Road,,Chapeltown,Leeds,LS74HZ,-1.531616,53.820855,Bishop Delroy Hall,0113 2374287,Unkonwn,www.cogop.org/,Unkonwn,Unkonwn,,,,,,
Holy Rosary Church,Christian,Catholic,Chapeltown Road,,Chapeltown,Leeds,LS74BZ,-1.5319591,53.813801,Unkonwn,0113 2454545,Unkonwn,Unkonwn,Unkonwn,Unkonwn,,,,,,Eritrean (Ge'ez Rite) Catholic Church (Father Ghebreyesus Ghebrezghi) 
Harehills Lane Baptist Church,Christian,Unknown,13 Hilton Place,,Chapeltown,Leeds,LS84HF,-1.5188032,53.819393,Reverend Graeme Dodds,0113 2628080,Unkonwn,http://www.hlbc.org.uk/,office@hlbc.org.uk,"Monday Community Café and clothes shop, childrens circus club, Bikers group, Free English classes, Asylum Seekers Support Group, Mens Group",Yes,Yes,Yes,Yes,Yes,Mangembo Church (French speaking www.mangembo.org); Romanian Church
Scott Hall Church,Christian,Unknown,Scott Hall Christian Fellowship, Scott Hall Grove,Chapeltown,Leeds,LS73JL,-1.5403868,53.820862,Unkonwn,Unkonwn,Unkonwn,www.scotthall.org.uk,mailus@scotthall.org.uk,"Ladies Activites, Homework Club, Visitation",Yes,Yes,,,Yes,"Emmanuel Christian Fellowship (Pastor Remy Mosanda, www.fellowshipcc.co.uk) "
Wesleyan Holiness Church,Christian,Methodist,Laycock Place,,Chapeltown,Leeds,LS73JA,-1.536355,53.812125,Pastor Legister,07952554492,Unkonwn,www.wesleyan.net/churches/uk,Unkonwn,Unkonwn,,,,,,"Romanian Pentecostal Church (Pastor Legister, "
Association of Ukrainians Centre,Christian,Unknown,Ukrainian Centre, 5 Newton Grove,Chapeltown,Leeds,LS74HW,-1.5302866,53.818027,Unkonwn,Unkonwn,Unkonwn,Unkonwn,Unkonwn,Unkonwn,,,,,,"Apostolic Faith Mission (Pastor Mudada, 07868342559); Salem Mission House Foundation Faith Church (Rev Andy Mboma)"
St Martins Church,Christian,Unknown,St Martins View,,Chapeltown,Leeds,LS73LB,-1.5360622,53.821815,Rev David Stevens,0113 2624271,Unkonwn,www.stmartinleeds.org.uk,revdstevens@stmartinleeds.org,Soup Kitchen (Saturday),,,,Yes,,
St Wilfreds Church,Christian,Anglican,St Wilfred's Vicarage, Chatsworth Close,Chapeltown,Leeds,LS83RS,-1.509041,53.813789,Unkonwn,0113 249 7724,Unkonwn,Unkonwn,Unkonwn,Unkonwn,,,,,,
Christ Embassy Church ,Christian,Unkonwn,1 Scott Hall Street,,Chapeltown,Leeds,LS72HT,-1.543427,53.816536,Unkonwn,Unkonwn,Unkonwn,Unkonwn,Unkonwn,Unkonwn,,,,,,
Al Amin Islamic Education Centre,Muslim,Unknown,71 Mexborough Drive,,Chapeltown,Leeds,LS73EL,-1.5354198,53.81535,Unkonwn,0113 2624329,Unkonwn,Unkonwn,Unkonwn,Madrassa,Yes,,,,,
Hazrat Sultan Bahu Centre,Muslim,Sunni,31 Hilton Road,,Chapeltown,Leeds,LS84HA,-1.5205319,53.819653,Unkonwn,Unkonwn,Unkonwn,www.bahutrust.org.uk,Unkonwn,Unkonwn,,,,,,
"Al-Khidmat Centre, Leeds Islamic Centre and Central Jamia Mosque",Muslim,Unknown,48 Spencer Place,,Chapeltown,Leeds,LS74BR,-1.5255198,53.812408,Asghar Ali,0113 2621300,Unkonwn,www.leedsic.com; ,alkhidmat@live.com,"Al Khidmat Centre, Luncheon Club twice weekly, health education, sports facilities, separate men's and women's groups",Yes,,Yes,Yes,,
